Zeit: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  4636 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4638 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4640 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4642 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4644 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4646 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4648 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4650 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4653 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4655 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4657 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4659 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4661 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4663 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4665 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4667 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4669 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4671 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4673 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4675 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4677 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4679 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4681 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4683 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4685 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4687 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4689 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4691 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4693 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4695 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4697 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4699 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4701 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4703 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4705 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4707 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4709 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4711 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4713 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4715 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4717 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4719 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4721 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4723 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4725 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4727 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4729 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4732 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4734 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4736 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4738 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4740 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4742 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4744 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4746 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4748 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4750 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4752 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4754 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4756 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4758 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4760 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4762 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4764 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4766 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4768 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4770 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4772 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4774 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4776 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4778 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4780 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4782 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4784 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4786 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4788 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4790 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4792 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4794 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4796 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4798 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4800 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4802 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4804 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4806 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4808 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4811 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4813 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4815 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4817 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4819 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4821 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4823 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4825 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4827 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4829 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4831 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4833 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4835 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4837 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4839 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4841 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4843 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4845 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4847 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4849 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4851 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4853 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4855 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4857 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4859 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4861 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4863 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4865 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4867 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4869 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4871 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4873 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4875 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4877 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4879 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4881 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4883 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4885 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4887 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4890 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4892 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4894 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4896 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4898 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4900 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4902 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4904 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4906 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4908 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4910 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4912 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4914 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4916 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4918 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4920 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4922 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4924 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4926 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4928 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4930 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4932 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4934 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4936 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4938 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4940 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4942 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4944 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4946 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4948 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4950 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4952 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4954 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4956 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4958 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4960 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4962 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4964 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4966 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4969 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4971 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4973 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4975 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4977 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4979 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4981 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4983 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4985 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4987 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4989 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4991 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4993 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4995 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  4997 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  4999 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5001 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5003 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  5005 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5007 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  5009 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5011 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5013 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5015 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5017 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5019 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5021 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5023 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5025 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5027 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5029 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5031 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5033 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5035 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5037 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5039 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5041 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5043 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5045 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5048 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5050 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5052 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5054 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5056 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5058 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5060 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5062 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5064 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5066 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5068 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5070 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5072 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5074 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5076 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5078 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5080 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5082 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5084 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5086 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5088 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  5090 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  5092 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5094 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5096 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5098 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5100 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5102 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5104 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5106 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5108 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5110 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5112 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5114 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5116 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5118 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5120 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5122 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5124 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5127 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5129 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5131 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5133 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5135 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5137 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5139 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5141 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5143 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5145 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5147 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5149 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5151 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5153 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5155 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5157 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5159 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5161 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5163 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5165 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5167 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5169 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5171 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5173 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5175 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5177 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5179 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5181 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5183 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5185 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5187 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5189 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5191 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5193 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5195 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5197 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5199 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5201 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5203 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5206 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5208 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5210 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5212 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5214 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5216 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5218 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5220 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5222 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5224 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5226 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5228 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5230 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5232 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5234 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5236 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5238 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5240 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5242 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5244 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5246 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  5248 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
